,Network,Date,Time,Program,Length,Rating,Minute_In_Commercial,Total_Loss_perc
162,DKN,2015-10-05,10:42 PM,BLACK_S_BOT,60,2.205489594589483,1,1.8772951764326853
163,DKN,2015-10-05,10:43 PM,BLACK_S_BOT,60,2.283820474407212,0,1.1891404398005176
164,DKN,2015-10-05,10:44 PM,BLACK_S_BOT,60,2.307674860791495,0,0.7186705373137429
165,DKN,2015-10-05,10:45 PM,BLACK_S_BOT,60,2.3571822721160824,0,1.7498422252677388
166,DKN,2015-10-05,10:46 PM,BLACK_S_BOT,60,2.325807735617773,0,1.8205344493016853
167,DKN,2015-10-05,10:47 PM,BLACK_S_BOT,60,2.3174880991982403,0,3.512024239557491
168,DKN,2015-10-05,10:48 PM,BLACK_S_BOT,60,2.2545412574758283,1,6.961133412303113
169,DKN,2015-10-05,10:49 PM,BLACK_S_BOT,60,2.1078872420094097,1,2.0444482140364624
170,DKN,2015-10-05,10:50 PM,BLACK_S_BOT,60,2.118026817718289,1,1.4808700633978669
171,DKN,2015-10-05,10:51 PM,BLACK_S_BOT,60,2.1969785894049108,1,2.7708381307550813
172,DKN,2015-10-05,10:52 PM,BLACK_S_BOT,60,2.2059542762054383,1,1.846996285517688
173,DKN,2015-10-05,10:53 PM,BLACK_S_BOT,60,2.2232176617154344,0,1.2814333452300186
174,DKN,2015-10-05,10:54 PM,BLACK_S_BOT,60,2.239406582542009,0,0.6887906293292404
175,DKN,2015-10-05,10:55 PM,BLACK_S_BOT,60,2.2567531737379576,0,0.9919051457592676
176,DKN,2015-10-05,10:56 PM,BLACK_S_BOT,60,2.257297410699941,0,1.1771467569379614
177,DKN,2015-10-05,10:57 PM,BLACK_S_BOT,60,2.2806249313359994,1,9.135047392019237
178,DKN,2015-10-05,10:58 PM,BLACK_S_BOT,60,2.1215308190501494,1,2.2426260860247567
179,DKN,2015-10-05,10:59 PM,BLACK_S_BOT,60,2.2273959203747,1,0.0
180,DKN,2015-10-12,10:00 PM,BLACK_S_BOT,60,3.1734680842162954,1,19.43823830414938
181,DKN,2015-10-12,10:01 PM,BLACK_S_BOT,60,2.7302997614435776,0,6.898625523730601
182,DKN,2015-10-12,10:02 PM,BLACK_S_BOT,60,2.665932579231994,0,4.056111962371944
183,DKN,2015-10-12,10:03 PM,BLACK_S_BOT,60,2.6208510723117,0,5.242574286862822
184,DKN,2015-10-12,10:04 PM,BLACK_S_BOT,60,2.485677499635341,0,2.84885114984564
185,DKN,2015-10-12,10:05 PM,BLACK_S_BOT,60,2.4696227491405045,0,2.7248570772122127
186,DKN,2015-10-12,10:06 PM,BLACK_S_BOT,60,2.4302021044696294,0,1.5414341477594362
187,DKN,2015-10-12,10:07 PM,BLACK_S_BOT,60,2.4338601494107017,0,1.7490998272190663
188,DKN,2015-10-12,10:08 PM,BLACK_S_BOT,60,2.419647167175924,0,2.9782815044454933
189,DKN,2015-10-12,10:09 PM,BLACK_S_BOT,60,2.3763911917036453,0,1.9485754812783391
190,DKN,2015-10-12,10:10 PM,BLACK_S_BOT,60,2.3773743579378057,0,2.5659372988617006
191,DKN,2015-10-12,10:11 PM,BLACK_S_BOT,60,2.335423790863564,0,1.9061537304844944
192,DKN,2015-10-12,10:12 PM,BLACK_S_BOT,60,2.3342800072080707,0,1.3895004173233862
193,DKN,2015-10-12,10:13 PM,BLACK_S_BOT,60,2.3648816906877994,0,3.882392854493217
194,DKN,2015-10-12,10:14 PM,BLACK_S_BOT,60,2.2843996208423643,1,10.066502707478143
195,DKN,2015-10-12,10:15 PM,BLACK_S_BOT,60,2.074479901420628,1,2.893373781407774
196,DKN,2015-10-12,10:16 PM,BLACK_S_BOT,60,2.076253097791099,1,2.61889306376928
197,DKN,2015-10-12,10:17 PM,BLACK_S_BOT,60,2.101402052228184,1,1.9007523781811584
198,DKN,2015-10-12,10:18 PM,BLACK_S_BOT,60,2.1454248264998648,0,1.1097241306686028
199,DKN,2015-10-12,10:19 PM,BLACK_S_BOT,60,2.174971606386062,0,1.7309594503117098
200,DKN,2015-10-12,10:20 PM,BLACK_S_BOT,60,2.1769700897113453,0,1.444927420965096
201,DKN,2015-10-12,10:21 PM,BLACK_S_BOT,60,2.17716904513178,0,1.059936592674236
202,DKN,2015-10-12,10:22 PM,BLACK_S_BOT,60,2.198177790722505,0,2.315738373887083
203,DKN,2015-10-12,10:23 PM,BLACK_S_BOT,60,2.1604120173508643,0,1.0880219378046347
204,DKN,2015-10-12,10:24 PM,BLACK_S_BOT,60,2.1689932025939767,0,1.7370320021721792
205,DKN,2015-10-12,10:25 PM,BLACK_S_BOT,60,2.167085217488943,1,8.32968376886188
206,DKN,2015-10-12,10:26 PM,BLACK_S_BOT,60,1.9872855092873245,1,2.8653309302833923
207,DKN,2015-10-12,10:27 PM,BLACK_S_BOT,60,1.969570750670906,0,2.3600788283305207
208,DKN,2015-10-12,10:28 PM,BLACK_S_BOT,60,1.9550136141587715,0,2.0497725121247665
209,DKN,2015-10-12,10:29 PM,BLACK_S_BOT,60,1.951949248525288,1,1.147860887178198
210,DKN,2015-10-12,10:30 PM,BLACK_S_BOT,60,2.029673022926097,1,1.0781393482165402
211,DKN,2015-10-12,10:31 PM,BLACK_S_BOT,60,2.1012472526572026,0,0.3776625405537857
212,DKN,2015-10-12,10:32 PM,BLACK_S_BOT,60,2.159040697746191,0,1.3917231910150856
213,DKN,2015-10-12,10:33 PM,BLACK_S_BOT,60,2.178393267175568,0,1.824725182954397
214,DKN,2015-10-12,10:34 PM,BLACK_S_BOT,60,2.1838117920901308,0,1.6085783250723522
215,DKN,2015-10-12,10:35 PM,BLACK_S_BOT,60,2.193643844058229,0,6.46717938475485
216,DKN,2015-10-12,10:36 PM,BLACK_S_BOT,60,2.0738406238796983,1,4.191588927680027
217,DKN,2015-10-12,10:37 PM,BLACK_S_BOT,60,2.0454280515254,1,2.8954353911342414
218,DKN,2015-10-12,10:38 PM,BLACK_S_BOT,60,2.0357971039669835,1,1.8252727861787528
219,DKN,2015-10-12,10:39 PM,BLACK_S_BOT,60,2.065761221085843,1,1.7783126586703717
220,DKN,2015-10-12,10:40 PM,BLACK_S_BOT,60,2.102242458271675,1,1.3722884081348463
221,DKN,2015-10-12,10:41 PM,BLACK_S_BOT,60,2.1273825650806164,0,1.7031986212494354
222,DKN,2015-10-12,10:42 PM,BLACK_S_BOT,60,2.126750158046155,0,1.2032123847835818
